Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
2770,Burden,13028,66.55%,27.82%,0.40%,0.58%,2.26%,2.39%
2783,Bolin,12962,91.15%,2.60%,0.38%,1.64%,1.74%,2.50%
2793,Bélanger,12922,94.39%,0.73%,0.56%,0.84%,1.59%,1.89%
2800,Beaty,12869,82.07%,12.22%,0.45%,0.44%,2.00%,2.82%
2820,Babb,12794,82.12%,11.86%,0.70%,0.48%,1.84%,2.99%
2826,Barone,12758,93.47%,0.70%,0.45%,0.18%,0.96%,4.23%
2833,Baggett,12717,86.13%,9.68%,0.29%,0.57%,1.31%,2.02%
2842,Breaux,12705,77.50%,17.99%,0.42%,0.46%,1.76%,1.88%
2873,Baugh,12543,74.57%,19.93%,0.66%,0.69%,2.10%,2.06%
2881,Bertrand,12461,80.26%,13.06%,0.50%,0.31%,1.77%,4.09%
2891,Bollinger,12425,94.99%,0.39%,0.88%,0.61%,1.48%,1.65%
2918,Broughton,12273,66.09%,28.82%,0.48%,0.61%,1.99%,2.01%
2934,Brubaker,12218,95.59%,0.25%,0.56%,0.29%,1.10%,2.21%
2954,Birch,12161,82.79%,10.95%,0.77%,0.54%,1.87%,3.08%
2971,Bundy,12065,82.11%,12.32%,0.51%,0.71%,2.30%,2.03%
2986,Bach,11999,84.82%,0.30%,10.70%,0.21%,1.30%,2.67%
2989,Brink,11982,93.65%,0.33%,0.73%,1.54%,1.39%,2.35%
2995,Billingsley,11973,65.74%,28.99%,0.33%,0.49%,2.42%,2.02%
3020,Beckwith,11876,82.47%,12.39%,0.68%,0.53%,2.05%,1.88%
3023,Beauchamp,11865,80.12%,7.44%,0.51%,0.97%,2.27%,8.69%
3045,Beckett,11763,77.05%,17.64%,0.53%,0.43%,1.94%,2.42%
3052,Bair,11740,92.78%,2.12%,1.08%,0.43%,1.47%,2.12%
3077,Blakely,11669,62.80%,30.64%,0.46%,0.52%,2.75%,2.83%
3086,Bigelow,11650,86.76%,7.79%,0.79%,0.45%,2.14%,2.07%
3088,Bull,11646,86.12%,8.29%,0.62%,1.19%,1.23%,2.54%
3092,Boland,11631,91.70%,2.18%,0.86%,0.43%,1.51%,3.31%
3096,Brothers,11619,79.12%,15.60%,0.48%,0.71%,2.01%,2.07%
3100,Benner,11612,94.40%,1.27%,0.47%,0.62%,1.07%,2.17%
3106,Branson,11587,85.03%,8.82%,0.51%,0.77%,2.09%,2.78%
3115,Barclay,11568,80.17%,14.18%,0.75%,0.43%,1.75%,2.72%
3128,Burkholder,11532,97.55%,0.28%,0.32%,0.14%,0.62%,1.09%
3145,Blalock,11493,81.56%,12.76%,0.30%,1.57%,1.57%,2.24%
3151,Barbee,11470,71.34%,23.04%,0.47%,0.69%,2.29%,2.16%
3152,Butterfield,11468,90.89%,3.14%,0.76%,0.95%,2.14%,2.13%
3156,Baumgartner,11448,95.13%,0.46%,0.65%,0.37%,1.46%,1.94%
3169,Breeden,11395,88.82%,6.28%,0.42%,0.59%,2.03%,1.86%
3200,Burdette,11284,87.73%,7.13%,0.33%,0.79%,1.71%,2.32%
3215,Bronson,11229,75.69%,18.27%,0.69%,0.63%,2.14%,2.59%
3223,Brockman,11204,87.09%,7.91%,0.64%,0.52%,1.62%,2.22%
3230,Bunn,11180,80.50%,14.09%,1.04%,0.55%,2.08%,1.74%
3234,Bruns,11158,95.01%,1.34%,0.50%,0.32%,0.99%,1.83%
3236,Boyles,11156,88.00%,6.14%,0.76%,0.64%,2.23%,2.23%
3268,Beers,11043,94.60%,0.34%,0.54%,0.43%,1.63%,2.45%
3271,Byrnes,11039,95.33%,0.51%,0.60%,0.34%,1.29%,1.95%
3278,Brackett,11027,83.24%,10.69%,0.53%,1.29%,2.03%,2.22%
3301,Brant,10886,84.82%,8.63%,0.46%,2.06%,1.81%,2.22%
3340,Boehm,10730,95.81%,0.24%,0.56%,0.30%,1.11%,1.99%
3349,Beaulieu,10695,88.75%,2.69%,0.70%,3.94%,1.96%,1.95%
3350,Bone,10692,83.82%,8.54%,1.03%,0.71%,1.66%,4.24%
3389,Bayer,10544,94.79%,0.68%,0.71%,0.11%,0.93%,2.77%
3398,Behrens,10524,93.95%,0.50%,0.61%,0.44%,1.07%,3.43%
3404,Broderick,10504,90.45%,4.39%,0.74%,0.24%,1.20%,2.98%
3421,Brinkman,10432,95.66%,0.25%,0.55%,0.56%,1.19%,1.80%
