Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
3949,Loza,9011,5.57%,0.41%,0.54%,0.27%,0.21%,93.00%
3969,Lozada,8959,4.98%,1.17%,5.75%,0.13%,0.71%,87.25%
3995,Lapointe,8894,87.53%,2.87%,0.65%,4.80%,1.98%,2.17%
4006,Loy,8868,86.68%,0.89%,4.70%,0.81%,1.82%,5.10%
4039,Lehmann,8799,94.58%,0.74%,0.61%,0.26%,1.18%,2.63%
4041,Langdon,8794,92.60%,3.38%,0.48%,0.38%,1.33%,1.84%
4078,Lanning,8711,94.40%,0.56%,0.86%,0.67%,1.40%,2.11%
4109,Lightfoot,8634,59.50%,30.30%,0.45%,2.69%,4.81%,2.26%
4175,Louie,8485,8.05%,3.41%,78.63%,1.52%,5.62%,2.77%
4177,Liao,8482,1.56%,(S),95.91%,(S),1.73%,0.66%
4182,LeMay,8471,90.79%,3.80%,0.78%,0.81%,1.85%,1.96%
4222,Leighton,8399,91.98%,2.07%,0.58%,1.21%,1.74%,2.42%
4249,Lovejoy,8351,81.88%,10.50%,0.56%,2.73%,2.34%,1.99%
4250,Lister,8350,78.66%,14.74%,0.36%,1.34%,1.58%,3.32%
4255,Logue,8328,91.33%,1.59%,0.97%,0.50%,1.71%,3.90%
4282,Lieberman,8302,96.30%,0.16%,0.77%,0.11%,1.08%,1.58%
4289,Lovato,8293,19.28%,0.19%,0.24%,4.74%,0.83%,74.71%
4298,Landa,8267,23.87%,0.74%,0.86%,0.19%,0.51%,73.84%
4335,Leiva,8193,6.86%,0.84%,0.35%,(S),(S),91.68%
4347,Loftus,8166,95.05%,0.45%,0.56%,0.43%,1.38%,2.12%
4351,LeClair,8162,91.45%,0.75%,0.59%,2.72%,2.17%,2.33%
4406,Lum,8060,18.65%,1.75%,61.94%,0.26%,13.28%,4.13%
4408,Lathrop,8057,92.23%,1.71%,1.01%,0.55%,1.76%,2.74%
4423,Leo,8039,75.37%,4.69%,9.17%,0.87%,2.21%,7.69%
4436,LaCroix,8003,84.48%,8.58%,0.41%,1.94%,1.76%,2.82%
4458,Lundberg,7958,94.82%,0.31%,0.92%,0.38%,1.73%,1.83%
4467,Loper,7950,80.82%,11.74%,0.53%,0.55%,1.53%,4.83%
4513,LeMaster,7858,94.18%,0.45%,0.48%,0.66%,1.41%,2.81%
4530,Loredo,7830,4.47%,0.20%,1.15%,0.13%,0.22%,93.83%
4547,Luckett,7790,38.96%,56.28%,0.26%,0.22%,2.26%,2.03%
4557,Lilley,7780,87.93%,5.46%,0.51%,1.49%,1.68%,2.92%
4568,Lapp,7761,97.29%,0.28%,0.52%,0.15%,0.71%,1.04%
4571,Leroy,7759,78.06%,13.22%,0.68%,2.09%,1.53%,4.41%
4578,Lung,7753,32.36%,3.61%,14.51%,0.49%,1.96%,47.07%
4583,Lavender,7744,69.86%,23.81%,0.37%,1.78%,2.17%,2.00%
4625,Lerner,7672,94.92%,0.43%,0.83%,0.09%,1.08%,2.65%
4638,Lear,7649,88.57%,6.07%,0.85%,0.34%,1.74%,2.43%
4689,Lemieux,7567,90.15%,2.37%,0.56%,3.09%,1.86%,1.97%
4697,LaRose,7552,79.56%,13.41%,0.73%,2.46%,2.05%,1.79%
4711,LaPorte,7528,83.50%,4.20%,0.97%,0.46%,1.71%,9.15%
4717,Linville,7517,93.55%,1.70%,0.55%,1.01%,1.42%,1.77%
4719,Langlois,7513,92.95%,1.98%,0.60%,0.20%,1.56%,2.72%
4724,Langer,7506,94.50%,0.87%,1.05%,0.40%,1.09%,2.09%
4726,Lei,7504,3.25%,0.51%,94.23%,0.17%,1.16%,0.68%
4731,Levi,7500,71.68%,16.56%,2.56%,2.65%,2.65%,3.89%
4765,Lindner,7428,94.70%,1.37%,0.55%,0.18%,0.93%,2.28%
4775,Lew,7410,18.81%,1.13%,71.50%,0.11%,5.02%,3.43%
4823,Luster,7316,44.67%,48.17%,0.38%,0.90%,3.50%,2.38%
4834,Lindgren,7300,94.58%,0.38%,0.75%,0.84%,1.49%,1.96%
4838,Lowman,7284,82.51%,12.80%,0.81%,0.80%,1.69%,1.40%
4891,Lavigne,7204,88.98%,5.54%,0.60%,0.67%,2.40%,1.82%
4894,Lundgren,7198,95.18%,0.43%,0.83%,0.29%,1.57%,1.69%
4896,LaPlante,7195,88.34%,3.52%,0.76%,2.88%,2.00%,2.50%
4933,Loving,7135,62.72%,29.22%,0.49%,1.18%,3.77%,2.62%
4966,Lagunas,7080,3.49%,0.13%,0.65%,0.08%,0.11%,95.54%
