Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
16,Thomas,756142,52.63%,38.75%,2.44%,1.07%,2.58%,2.54%
17,Taylor,751209,65.38%,28.42%,0.56%,0.76%,2.41%,2.46%
23,Thompson,664644,69.78%,23.57%,0.57%,1.22%,2.37%,2.49%
37,Torres,437813,5.35%,0.57%,1.43%,0.20%,0.28%,92.16%
54,Turner,348627,64.25%,30.13%,0.42%,0.60%,2.38%,2.23%
132,Tran,188498,1.35%,0.10%,96.00%,0.03%,1.70%,0.81%
153,Tucker,167446,70.01%,24.17%,0.45%,0.78%,2.25%,2.35%
361,Terry,87000,66.28%,27.34%,0.56%,0.70%,2.44%,2.68%
373,Thornton,83967,67.42%,27.08%,0.46%,0.62%,2.34%,2.06%
448,Trujillo,73664,8.39%,0.21%,0.29%,1.63%,0.35%,89.14%
460,Todd,71759,80.77%,13.58%,0.51%,0.68%,2.11%,2.34%
467,Tate,71058,55.59%,38.34%,0.61%,0.84%,2.50%,2.12%
483,Townsend,69360,67.70%,26.42%,0.47%,0.79%,2.25%,2.38%
509,Tyler,66056,61.96%,30.99%,0.54%,1.35%,2.70%,2.46%
562,Treviño,59882,7.83%,0.29%,0.20%,0.40%,0.22%,91.06%
647,Tapia,52651,4.85%,0.29%,0.71%,0.40%,0.22%,93.54%
709,Tanner,48813,82.75%,10.94%,0.63%,1.14%,2.21%,2.32%
843,Trejo,41021,3.96%,0.36%,0.13%,0.25%,0.16%,95.13%
903,Truong,38267,0.82%,0.11%,96.87%,0.03%,1.60%,0.57%
983,Terrell,35408,55.26%,38.99%,0.39%,0.75%,2.41%,2.20%
998,Travis,34985,73.32%,21.01%,0.52%,0.53%,2.21%,2.40%
999,Tang,34961,2.64%,0.62%,93.31%,0.05%,2.13%,1.25%
1070,Tovar,32760,4.73%,0.35%,0.13%,0.24%,0.18%,94.38%
1090,Tan,32120,3.30%,0.19%,92.37%,0.11%,2.62%,1.42%
1139,Tillman,30825,45.06%,48.77%,0.35%,0.85%,2.82%,2.14%
1170,Talley,30014,65.16%,28.40%,0.54%,0.90%,2.55%,2.46%
1180,Tracy,29867,91.05%,2.83%,0.62%,1.37%,1.61%,2.51%
1221,Tyson,28947,52.86%,41.40%,0.46%,0.67%,2.37%,2.24%
1267,Tuttle,27751,93.39%,1.35%,0.53%,0.98%,1.65%,2.10%
1407,Tomlinson,25274,83.64%,10.32%,0.65%,0.55%,1.85%,2.99%
1420,Tipton,25064,87.50%,6.91%,0.50%,1.00%,2.02%,2.07%
1440,Thomson,24750,89.95%,3.98%,1.27%,0.47%,1.76%,2.58%
1451,Tatum,24558,55.30%,37.90%,0.37%,0.78%,2.70%,2.95%
1456,Teague,24514,79.55%,14.52%,0.47%,0.91%,2.39%,2.17%
1464,Tolbert,24375,44.43%,49.92%,0.26%,0.77%,2.72%,1.90%
1485,Tompkins,24056,84.15%,10.59%,0.61%,0.57%,1.80%,2.29%
1492,Thurman,23950,70.40%,23.54%,0.44%,0.78%,2.23%,2.62%
1536,Thao,23404,0.77%,(S),96.81%,(S),1.73%,0.54%
1590,Temple,22549,79.75%,14.58%,0.85%,0.43%,2.12%,2.28%
1595,Téllez,22494,4.50%,0.16%,0.30%,0.19%,0.09%,94.76%
1651,Thorpe,21813,68.62%,25.36%,0.53%,0.71%,2.30%,2.49%
1677,Thacker,21512,89.60%,5.03%,1.29%,0.54%,1.72%,1.82%
1699,Tidwell,21176,84.00%,11.02%,0.38%,0.86%,1.70%,2.04%
1734,Timmons,20671,67.76%,26.70%,0.51%,0.61%,2.08%,2.35%
1751,Thomason,20478,87.16%,7.05%,0.47%,1.03%,1.94%,2.35%
1753,Tripp,20434,83.48%,10.90%,0.63%,0.78%,2.03%,2.18%
1801,Trotter,19927,61.68%,32.11%,0.52%,0.52%,2.84%,2.34%
1818,Tackett,19737,94.34%,0.92%,0.32%,0.94%,1.55%,1.94%
1824,Trent,19630,79.67%,15.34%,0.50%,0.47%,2.08%,1.94%
1826,Toth,19606,95.78%,0.28%,0.67%,0.19%,1.10%,1.98%
1841,Toledo,19474,8.49%,0.49%,5.76%,6.09%,0.75%,78.42%
1896,Tobin,18932,88.46%,4.99%,0.78%,0.38%,1.68%,3.71%
1919,Toney,18787,54.98%,38.30%,0.42%,1.56%,2.79%,1.94%
1922,Thorne,18738,75.50%,17.47%,0.73%,0.91%,2.17%,3.22%
1965,Triplett,18408,65.43%,29.29%,0.51%,0.59%,2.33%,1.86%
2132,Troyer,16981,97.96%,0.26%,0.22%,0.19%,0.62%,0.75%
2160,Torrez,16795,8.18%,0.47%,0.14%,0.43%,0.38%,90.40%
2186,Thayer,16625,93.07%,0.91%,0.81%,1.25%,1.79%,2.17%
2210,Tamayo,16474,4.64%,0.48%,9.46%,0.13%,0.83%,84.45%
2235,Trimble,16306,79.20%,14.84%,0.62%,0.92%,1.72%,2.70%
2314,Titus,15780,78.65%,12.79%,2.08%,1.59%,2.22%,2.66%
2318,Tilley,15758,87.59%,6.75%,0.57%,1.19%,1.78%,2.12%
2342,Talbot,15562,91.31%,3.23%,0.81%,0.44%,1.52%,2.69%
2360,Tabor,15445,85.53%,7.87%,0.96%,0.78%,2.12%,2.74%
2361,Tinsley,15442,62.63%,31.36%,0.47%,0.51%,2.64%,2.40%
2368,Trinh,15392,1.20%,(S),95.93%,(S),1.88%,0.87%
2385,Thurston,15234,84.88%,10.33%,0.58%,0.33%,1.78%,2.10%
2432,Tejada,14903,3.29%,0.54%,4.40%,0.11%,0.65%,91.00%
2494,Tobias,14482,55.01%,13.35%,3.78%,0.26%,1.53%,26.06%
2541,Tejeda,14240,3.12%,0.50%,0.12%,0.08%,0.16%,96.02%
2560,Trahan,14114,85.94%,9.10%,0.55%,0.82%,1.42%,2.18%
2602,Thibodeaux,13850,79.23%,16.66%,0.29%,0.51%,1.40%,1.91%
2619,Tharp,13757,92.91%,2.43%,0.69%,0.41%,1.47%,2.10%
2646,Tierney,13608,95.75%,0.27%,0.62%,0.22%,1.21%,1.93%
2677,Trinidad,13474,4.80%,0.68%,17.11%,0.10%,1.25%,76.06%
2685,Tirado,13410,6.41%,1.10%,0.51%,0.13%,0.28%,91.57%
2687,Templeton,13396,89.74%,4.78%,0.43%,0.52%,1.93%,2.61%
2701,Traylor,13341,55.31%,39.06%,0.40%,0.34%,2.68%,2.20%
2703,Tam,13327,5.55%,0.55%,90.16%,0.05%,2.31%,1.39%
2730,Tong,13196,11.58%,1.51%,81.26%,0.14%,3.38%,2.14%
2807,Thrasher,12836,84.67%,10.06%,0.46%,0.90%,1.80%,2.12%
2810,Tubbs,12828,70.03%,24.39%,0.55%,0.94%,2.09%,2.00%
2825,Tavares,12766,52.21%,10.20%,2.49%,0.31%,4.30%,30.50%
2826,Trout,12758,92.62%,1.53%,0.56%,0.99%,2.03%,2.27%
2867,Trammell,12582,71.64%,21.94%,0.38%,0.90%,2.61%,2.53%
2944,Talbert,12181,69.99%,24.06%,0.54%,0.55%,2.54%,2.32%
2958,Tolliver,12128,44.85%,48.87%,0.37%,0.79%,3.08%,2.04%
3005,Turpin,11937,83.03%,11.53%,0.48%,0.72%,1.95%,2.30%
3036,Tomlin,11797,75.81%,19.08%,0.53%,0.52%,2.01%,2.06%
3089,Thai,11644,2.23%,(S),95.61%,(S),1.41%,0.58%
3135,Troutman,11519,79.80%,15.64%,0.44%,0.62%,1.68%,1.82%
3136,Tello,11512,8.54%,0.58%,0.69%,0.23%,0.30%,89.65%
3180,Tolentino,11371,5.46%,0.56%,44.26%,0.11%,4.49%,45.12%
3291,Tsai,10968,1.75%,(S),94.57%,(S),2.86%,0.67%
3358,Toro,10650,14.92%,1.08%,0.69%,0.86%,0.56%,81.88%
3378,Terrazas,10569,5.29%,0.21%,0.25%,0.46%,0.18%,93.61%
3398,Turley,10524,88.71%,5.34%,0.54%,0.76%,2.08%,2.57%
3450,Turk,10354,83.64%,10.25%,1.08%,0.36%,1.93%,2.74%
3452,Tom,10350,19.02%,1.57%,52.53%,16.63%,6.91%,3.33%
3473,Tisdale,10293,54.81%,40.04%,0.38%,0.43%,2.47%,1.88%
3503,Tavarez,10201,3.24%,0.64%,0.50%,0.09%,0.12%,95.41%
3529,Tice,10118,91.64%,2.72%,0.64%,0.57%,1.68%,2.75%
3532,Tafoya,10114,14.91%,0.31%,0.42%,4.65%,0.91%,78.81%
3560,Tuck,10018,77.63%,16.80%,0.64%,0.61%,1.81%,2.52%
3569,Thorn,9988,83.80%,9.79%,1.88%,0.37%,1.91%,2.24%
3601,Thiel,9880,94.84%,0.91%,0.64%,0.24%,1.16%,2.21%
3622,Taggart,9808,87.38%,6.90%,0.53%,0.49%,1.67%,3.03%
3644,Thatcher,9752,91.67%,1.50%,0.64%,0.56%,1.62%,4.01%
3670,Tinoco,9707,3.28%,0.22%,0.82%,0.14%,0.14%,95.40%
3695,Tyree,9613,76.79%,17.74%,0.41%,0.54%,2.55%,1.98%
3706,Taveras,9580,2.84%,0.70%,0.16%,0.11%,0.14%,96.05%
3712,Truitt,9557,71.81%,22.67%,0.48%,0.89%,1.98%,2.17%
3753,Timm,9433,94.40%,0.87%,0.75%,0.35%,1.41%,2.22%
3757,Toler,9427,80.53%,14.59%,0.46%,0.63%,2.02%,1.78%
3784,Thigpen,9359,62.25%,33.82%,0.29%,0.36%,2.06%,1.22%
3788,Tarver,9341,44.74%,49.99%,0.36%,0.41%,2.18%,2.31%
3807,Toscano,9301,37.06%,0.22%,0.77%,0.22%,0.56%,61.18%
3813,Trapp,9294,79.27%,15.63%,0.52%,0.36%,1.36%,2.87%
3835,Tu,9230,1.95%,(S),94.03%,(S),2.26%,1.53%
3911,Tully,9081,92.19%,1.27%,0.70%,1.39%,1.56%,2.89%
3933,Taft,9048,84.32%,10.34%,0.49%,0.70%,1.66%,2.50%
3976,Teal,8937,78.43%,15.63%,0.74%,0.47%,2.07%,2.66%
3979,To,8934,1.96%,(S),95.06%,(S),1.37%,1.28%
3994,Teixeira,8895,75.37%,11.35%,1.88%,0.33%,4.07%,7.00%
4084,Testa,8694,91.36%,1.13%,0.94%,0.18%,1.09%,5.29%
4085,Tennant,8693,87.96%,7.58%,0.60%,0.37%,1.53%,1.97%
4111,Tenorio,8629,6.30%,0.43%,7.63%,7.54%,1.27%,76.82%
4114,Tijerina,8626,6.78%,0.16%,0.26%,0.22%,0.24%,92.34%
4139,Terán,8557,10.25%,1.16%,0.90%,0.29%,0.36%,87.04%
4145,Trice,8546,41.91%,51.18%,0.53%,0.41%,3.81%,2.15%
4267,Turnbull,8320,86.05%,8.09%,0.66%,0.65%,2.01%,2.55%
4303,TRUE,8261,91.99%,1.80%,1.46%,0.75%,2.00%,2.00%
4341,Tallman,8174,89.59%,1.03%,0.94%,4.56%,1.60%,2.28%
