Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
4483,Jean-Baptiste,7915,0.97%,94.04%,0.21%,0.13%,2.50%,2.15%
4528,Johnsen,7831,91.78%,3.56%,0.92%,0.34%,1.16%,2.23%
4587,Jackman,7738,79.96%,13.56%,0.49%,0.49%,1.98%,3.53%
4632,Janes,7659,91.03%,3.04%,0.76%,0.61%,1.29%,3.26%
4676,Jester,7587,84.35%,10.89%,0.43%,0.63%,1.95%,1.74%
4698,Jorgenson,7551,94.16%,0.30%,0.40%,1.47%,1.39%,2.28%
4743,Jablonski,7469,95.90%,0.23%,0.52%,0.20%,0.94%,2.21%
4782,Jenks,7396,90.71%,2.19%,0.91%,1.08%,2.14%,2.97%
4808,Juan,7350,5.22%,0.69%,20.83%,9.96%,1.74%,61.55%
4812,Jamieson,7338,86.85%,5.51%,0.75%,1.38%,2.26%,3.26%
4825,Johnstone,7313,92.01%,2.53%,0.86%,0.46%,1.61%,2.52%
5037,Jessup,6964,81.85%,12.68%,0.57%,0.53%,1.81%,2.56%
5040,Judy,6962,93.79%,1.54%,0.73%,0.93%,1.45%,1.55%
5094,Joslin,6868,91.07%,1.22%,0.63%,0.96%,1.94%,4.18%
5130,Justus,6821,92.54%,1.69%,0.69%,0.78%,2.07%,2.24%
5475,Jarman,6351,86.13%,9.10%,0.55%,0.54%,1.51%,2.17%
5572,Jacinto,6238,8.03%,0.71%,17.55%,0.19%,1.07%,72.44%
5573,Jorge,6236,22.95%,2.34%,2.98%,0.18%,0.85%,70.70%
5813,Jacks,5946,80.49%,13.52%,0.74%,1.01%,1.70%,2.54%
5886,Jaffe,5865,94.68%,0.51%,0.97%,0.09%,1.19%,2.56%
5989,Jaynes,5741,88.45%,6.29%,0.35%,0.56%,1.81%,2.54%
6180,Julien,5535,38.08%,52.47%,0.83%,0.40%,3.20%,5.02%
6278,Judkins,5442,73.36%,21.66%,0.62%,0.53%,2.24%,1.58%
6315,Jeong,5404,1.50%,0.20%,96.80%,0.00%,0.98%,0.52%
6440,Jamerson,5273,41.97%,50.88%,0.40%,1.23%,2.94%,2.58%
6674,Johanson,5061,93.06%,1.36%,0.69%,0.85%,1.72%,2.31%
6809,Jefferies,4953,50.60%,44.28%,0.42%,0.34%,2.18%,2.18%
6876,Jean-Louis,4891,1.29%,93.76%,0.10%,0.22%,2.11%,2.51%
6905,Jaworski,4865,96.09%,0.27%,0.35%,0.33%,0.97%,1.99%
6917,Jahn,4850,94.49%,0.93%,1.18%,0.35%,1.15%,1.90%
7069,Juliano,4735,91.17%,0.40%,3.99%,0.27%,1.01%,3.15%
7327,Jessen,4553,93.72%,0.44%,0.68%,0.48%,1.10%,3.58%
7500,Jiles,4441,29.75%,62.98%,0.11%,0.92%,3.38%,2.86%
7524,Judson,4422,83.20%,11.58%,0.93%,0.50%,1.72%,2.08%
7549,Jeffcoat,4406,80.64%,14.75%,0.30%,0.75%,2.00%,1.57%
7621,Jager,4356,91.83%,0.94%,0.83%,0.83%,2.71%,2.87%
7791,Jeon,4253,1.55%,(S),96.17%,(S),0.78%,0.87%
7821,Janis,4233,73.21%,3.47%,0.83%,16.63%,2.29%,3.57%
8006,Josey,4131,55.34%,39.58%,0.58%,0.51%,1.72%,2.28%
8067,Jessee,4108,94.96%,0.37%,0.54%,0.54%,1.58%,2.02%
8073,Jacquez,4105,7.60%,0.97%,0.34%,2.00%,0.44%,88.65%
8076,Jost,4104,93.74%,0.12%,1.41%,0.41%,1.15%,3.17%
8103,June,4091,67.20%,21.63%,2.98%,4.06%,1.88%,2.25%
8137,Jerez,4074,4.84%,0.76%,1.15%,0.15%,0.12%,92.98%
8164,Jun,4059,4.34%,0.25%,94.19%,0.00%,0.62%,0.62%
8184,Jordon,4052,55.55%,37.07%,0.49%,0.74%,2.49%,3.65%
8198,Jason,4048,66.33%,22.46%,3.46%,0.49%,2.10%,5.16%
8216,Ji,4039,1.66%,(S),96.91%,(S),0.74%,0.52%
8225,Jahnke,4035,96.56%,0.17%,0.55%,0.25%,0.89%,1.59%
8286,Jump,3999,93.35%,1.05%,0.40%,1.20%,2.08%,1.93%
8305,Jeanpierre,3990,2.21%,91.95%,(S),(S),2.21%,3.26%
8330,Janke,3977,94.97%,0.33%,0.40%,0.28%,1.58%,2.44%
8335,Jardine,3973,81.68%,5.69%,2.47%,0.35%,4.20%,5.61%
8348,Jessop,3965,94.40%,1.49%,1.29%,0.13%,0.86%,1.84%
8408,Janson,3930,90.28%,2.52%,1.55%,0.89%,1.73%,3.03%
8435,Jessie,3916,55.62%,37.39%,0.54%,1.71%,2.20%,2.55%
8536,Jesse,3855,85.29%,5.24%,2.20%,1.17%,1.58%,4.51%
8653,Jemison,3797,24.10%,69.34%,0.47%,1.32%,3.32%,1.45%
8710,Just,3769,93.39%,1.59%,0.69%,0.32%,1.09%,2.92%
8900,Jasinski,3679,95.71%,0.19%,0.33%,0.35%,0.73%,2.69%
9013,Julius,3628,68.41%,21.66%,1.76%,2.78%,1.90%,3.47%
9100,Josephson,3590,94.29%,0.50%,1.25%,0.50%,1.28%,2.17%
9108,Jo,3588,6.80%,1.70%,85.23%,0.17%,1.67%,4.43%
9161,Jacobi,3563,93.88%,1.01%,0.79%,0.20%,0.98%,3.14%
9172,Joaquin,3559,19.39%,2.58%,18.09%,6.94%,3.09%,49.90%
9192,Jimerson,3548,38.36%,45.69%,0.31%,8.71%,4.51%,2.42%
9203,Jim,3544,10.16%,1.07%,12.39%,68.37%,3.36%,4.66%
9267,Jakubowski,3513,95.33%,0.23%,0.40%,0.28%,1.28%,2.48%
9412,Johannes,3455,83.50%,9.12%,2.46%,(S),(S),2.81%
9488,Joubert,3428,54.58%,36.03%,0.29%,0.15%,1.72%,7.23%
9552,Joshua,3403,22.98%,57.24%,7.96%,2.56%,4.17%,5.08%
9661,Jumper,3360,75.95%,12.23%,0.30%,7.62%,2.17%,1.73%
9761,Jowers,3320,79.43%,16.02%,0.36%,0.24%,1.48%,2.47%
9788,Jeffreys,3308,75.06%,19.50%,0.33%,0.79%,2.63%,1.69%
9901,Janik,3265,95.16%,0.28%,1.59%,0.21%,0.89%,1.87%
9969,Jurgens,3235,95.24%,0.40%,0.43%,0.22%,1.70%,2.01%
9998,Jaques,3224,77.11%,2.51%,0.78%,0.56%,1.33%,17.71%
10204,Jepson,3157,95.31%,0.25%,0.41%,0.38%,1.08%,2.57%
10268,Jaggers,3139,90.86%,4.71%,0.38%,0.38%,2.17%,1.50%
10286,Jayne,3134,93.94%,0.41%,1.47%,0.32%,2.14%,1.72%
10290,Jarquín,3132,3.35%,0.35%,(S),(S),(S),96.01%
10324,Joo,3121,5.51%,0.42%,90.00%,0.00%,1.19%,2.88%
10369,Justin,3109,68.00%,17.53%,5.40%,2.73%,1.64%,4.70%
10371,Jiminez,3108,8.98%,3.19%,1.42%,0.45%,0.93%,85.04%
10465,Janzen,3072,93.98%,0.49%,0.72%,0.29%,1.27%,3.26%
10620,Jeske,3015,95.56%,0.50%,0.46%,0.30%,1.33%,1.86%
10647,Jantz,3005,95.51%,(S),0.60%,(S),0.90%,2.53%
10894,Jelínek,2924,95.28%,0.48%,0.51%,0.68%,0.85%,2.19%
10935,Jules,2911,8.73%,83.79%,0.45%,0.58%,3.13%,3.33%
10951,Jama,2907,4.06%,92.78%,(S),(S),1.17%,1.34%
11016,Juneau,2887,88.60%,2.91%,0.62%,3.64%,1.84%,2.39%
11081,Jamal,2864,29.33%,13.72%,50.14%,0.24%,4.64%,1.92%
11200,Jarboe,2822,92.63%,2.83%,0.96%,0.71%,1.70%,1.17%
11204,Joya,2821,3.93%,0.85%,4.11%,(S),(S),90.25%
11377,Jepsen,2772,94.52%,0.25%,0.94%,0.61%,1.26%,2.42%
11415,Jarosz,2760,96.34%,0.36%,(S),(S),0.76%,2.10%
11508,Junker,2733,94.88%,(S),0.59%,(S),2.16%,1.87%
11572,Jarmon,2717,26.24%,65.11%,0.74%,0.26%,4.01%,3.64%
11624,Johansson,2698,91.66%,0.63%,1.63%,0.33%,2.82%,2.93%
11697,Jerry,2679,46.77%,39.60%,2.87%,3.43%,2.50%,4.82%
11753,Jinks,2665,74.18%,21.65%,0.19%,0.64%,1.73%,1.61%
11767,Jude,2662,77.27%,16.04%,3.72%,0.23%,1.16%,1.58%
11799,Janda,2654,87.38%,0.72%,8.06%,0.41%,1.58%,1.85%
11856,Jerónimo,2641,6.70%,0.80%,(S),(S),0.23%,91.90%
11965,Jourdan,2612,75.27%,13.94%,0.50%,2.99%,2.72%,4.59%
11993,Johannsen,2604,94.12%,0.38%,0.50%,0.23%,1.77%,3.00%
12005,Jaber,2601,85.58%,(S),1.73%,(S),7.15%,4.23%
12079,Joslyn,2581,91.40%,2.29%,0.89%,0.66%,2.21%,2.56%
12108,Jenner,2574,92.11%,0.85%,0.78%,0.58%,2.06%,3.61%
12192,Jiménez,2555,2.62%,0.39%,0.35%,(S),(S),96.32%
12238,Jalloh,2542,0.51%,96.46%,(S),(S),1.53%,1.06%
12255,January,2538,44.37%,47.04%,0.32%,0.87%,3.39%,4.02%
12423,Ju,2502,3.64%,0.48%,92.37%,0.00%,1.80%,1.72%
12447,Jirón,2494,12.19%,0.52%,0.36%,7.34%,0.92%,78.67%
12496,Justiniano,2481,9.43%,2.10%,6.69%,0.00%,0.40%,81.38%
12541,Job,2470,74.05%,10.85%,8.70%,0.40%,1.38%,4.62%
12557,Janney,2466,95.46%,1.30%,0.32%,0.20%,1.26%,1.46%
12802,Jia,2409,1.66%,(S),96.85%,(S),0.50%,0.50%
12856,Joachim,2395,56.99%,32.40%,(S),(S),2.38%,6.18%
12900,Jacobus,2383,92.45%,1.85%,0.76%,0.34%,1.17%,3.44%
12961,Jurek,2370,93.54%,(S),0.68%,(S),1.14%,4.26%
13002,Jellison,2361,94.79%,0.72%,0.55%,0.38%,1.69%,1.86%
13214,Jácome,2313,11.15%,(S),0.48%,0.30%,(S),87.64%
13241,Jalbert,2306,96.31%,0.74%,0.56%,0.26%,0.69%,1.43%
13391,Jovel,2275,2.86%,0.26%,0.48%,(S),(S),96.31%
13551,Jaco,2237,69.51%,3.71%,1.03%,0.98%,2.06%,22.71%
13790,Jury,2193,87.87%,3.33%,2.46%,0.55%,2.01%,3.78%
13867,Jeffords,2179,94.58%,0.46%,0.28%,0.78%,1.70%,2.20%
13874,Juhl,2177,95.13%,0.23%,0.96%,0.28%,0.78%,2.62%
13903,Janus,2172,92.08%,1.89%,1.43%,0.41%,1.52%,2.67%
13926,Josephs,2168,61.07%,31.50%,(S),(S),1.85%,4.70%
14038,Junior,2146,33.04%,54.43%,0.84%,1.21%,2.80%,7.69%
14046,Jolliff,2144,88.81%,7.60%,0.28%,0.47%,1.21%,1.63%
14105,Joines,2131,86.39%,8.02%,0.99%,1.13%,1.97%,1.50%
14233,Joplin,2107,75.42%,16.56%,0.52%,2.37%,2.47%,2.66%
14299,Jelks,2093,14.19%,80.27%,0.33%,0.43%,2.72%,2.05%
14392,Jarnagin,2077,90.61%,3.66%,0.63%,1.20%,1.59%,2.31%
14405,Jared,2075,71.52%,2.55%,21.11%,0.53%,1.40%,2.89%
14468,Jasmin,2064,36.58%,45.64%,9.21%,(S),(S),6.20%
14558,Janowski,2047,95.75%,(S),0.88%,(S),1.17%,1.42%
14564,Jan,2046,24.05%,1.76%,66.37%,0.24%,5.18%,2.39%
14604,Jimmerson,2038,49.02%,45.09%,0.49%,0.44%,2.65%,2.31%
14636,Jesus,2033,29.61%,4.28%,5.85%,5.21%,2.16%,52.88%
14695,Jetton,2023,82.25%,11.07%,1.93%,0.89%,2.22%,1.63%
14695,Jozwiak,2023,96.89%,(S),(S),0.64%,0.79%,1.19%
14739,Jurgensen,2016,94.00%,0.40%,0.64%,0.25%,1.88%,2.83%
15183,Janicki,1940,94.95%,(S),1.29%,(S),1.44%,2.01%
15194,Jorden,1939,59.82%,32.80%,1.13%,0.26%,2.63%,3.35%
15289,Jenkinson,1920,94.01%,2.60%,(S),(S),0.99%,1.77%
