Rank,Name,Count,White,Black,API,AIAN,2+ Races,Hispanic
929,Xiong,37499,0.33%,0.07%,98.07%,0.03%,1.14%,0.35%
1381,Xu,25622,0.83%,0.12%,98.25%,0.02%,0.55%,0.24%
3662,Xie,9716,0.72%,0.22%,98.19%,(S),0.66%,(S)
5669,Xiao,6123,0.78%,(S),97.91%,(S),0.85%,0.24%
8867,Xia,3693,1.27%,(S),97.37%,(S),0.65%,0.57%
9638,Xavier,3367,48.56%,21.29%,16.01%,2.08%,4.66%,7.40%
9932,Xue,3248,1.51%,(S),97.88%,(S),0.43%,(S)
19041,Xiang,1430,1.26%,0.56%,97.34%,(S),0.63%,(S)
21173,Xing,1240,2.02%,0.48%,96.61%,(S),0.65%,(S)
